ID_PESS,ZONA_D
100337102,10
100337103,10
100337104,10
100338101,35
100338101,10
100338102,0
100339101,68
100339101,10
100339102,0
100340101,0
100340102,0
100341101,9
100341101,10
100341102,0
100341103,9
100341103,10
100341104,0
100342101,0
100342102,76
100342102,10
100343101,128
100343101,10
100343102,12
100343102,10
100343103,0
100343104,0
100343105,10
100345101,34
100345102,0
100347101,0
100347102,0
100348101,10
100348101,12
100348102,12
100348102,10
100348103,0
100348104,0
100348105,0
100348106,10
100348107,10
100349101,0
100349102,10
100349103,53
100349103,10
100358101,0
100358102,0
100358103,10
100358104,10
100358104,253
100358105,10
100358106,10
100358107,10
100358108,10
100420101,10
100420101,9
100420102,10
100420103,10
100433101,12
100433101,10
100433102,0
100433103,12
100433103,10
100435101,0
100435102,12
100435102,10
100435103,0
100435104,10
100436101,10
100436102,12
100436102,10
100436103,10
100436103,12
100436104,10
100541101,10
100541102,49
100541102,42
100541102,10
100541103,12
100541103,10
100541104,12
100541104,10
100541105,12
100541105,10
100541106,10
100587101,12
100587101,10
100587102,367
100587102,10
100591101,10
100591101,164
100591102,10
100591102,8
100591103,164
100591103,10
100591104,10
100591105,10
100591106,10
100593101,12
100593101,10
100593102,8
100593102,10
100593103,10
100595101,0
100595102,0
100595103,39
100595103,10
100595104,0
100595105,0
100598101,0
100598102,367
100598102,10
100598103,12
100598103,10
100598104,0
100598105,14
100598105,10
100599101,12
100599101,10
100599102,10
100599103,10
100600101,13
100600101,10
100601101,0
100601102,0
100602101,0
100602102,12
100602102,10
100602103,0
100602104,0
100602105,0
100603101,10
100603102,0
100603103,10
100603104,10
100603105,10
100603106,10
100603107,0
100606101,0
100607101,0
100609101,10
100609102,10
100609103,12
100609103,10
100609104,1
100609104,10
100609105,42
100609105,10
100610101,10
100611101,0
100611102,10
100611102,133
100611103,14
100611103,10
100611104,10
100611105,10
100612101,14
100612101,10
100612102,0
100612103,14
100612103,10
100613101,135
100613101,10
100613102,0
100613103,0
100613104,135
100613104,10
100614101,366
100614101,10
100619101,0
100619102,0
100619103,0
100621101,10
100621102,0
100621103,10
100621104,10
100634101,10
100634102,0
100634103,0
110001101,0
110001102,0
110001103,55
110001103,11
110003101,61
110003101,11
110003101,42
110005101,11
110005102,11
110007101,0
110007102,0
110008101,7
110008101,11
110010101,68
110010101,11
110010102,7
110010102,11
110010103,12
110010103,11
110012101,0
110013101,12
110013101,11
110013102,12
110013102,11
110013103,13
110013103,11
110013104,28
110013104,11
110014101,0
110015101,0
110015102,12
110015102,11
110015103,11
110015103,10
110015104,0
110016101,14
110016101,11
110017101,7
110017101,11
110017102,7
110017102,11
110017103,0
110019101,0
110019102,19
110019102,11
110019103,38
110019103,11
110020101,12
110020101,11
110020102,14
110020102,11
110021101,0
110021102,0
110021103,0
110024101,6
110024101,11
110024102,54
110024102,11
110025101,0
110025102,12
110025102,11
110025103,81
110025103,11
110027101,42
110027101,11
110027101,100
110028101,54
110028101,2
110028101,11
110029101,38
110029101,11
110031101,12
110031101,395
110031101,280
110031101,11
110031102,168
110031102,12
110031102,11
110031102,166
110031102,180
110031103,11
110031103,12
110031104,0
110034101,11
110034101,39
110034101,41
110034102,11
110034102,39
110034102,41
110034103,11
110034104,11
110034105,11
110034105,39
110036101,45
110036101,11
110036102,45
110036102,11
110036103,478
110036103,11
110037101,0
110037102,24
110037102,11
110038101,208
110038101,11
110038101,9
110038102,11
110038103,28
110038103,11
110038104,11
110039101,48
110039101,11
110040101,0
110044101,10
110044101,11
110044102,10
110044102,11
110044103,0
110044104,0
110044105,10
110044105,11
110044106,10
110044106,11
110045101,12
110045101,11
110045102,14
110045102,11
110045103,0
110045104,12
110045104,11
110045105,16
110045105,11
110047101,42
110047101,11
110047102,30
110047102,31
110047102,11
110050101,79
110050101,11
110050102,0
110301101,24
110301101,11
110301102,12
110301102,11
110303101,38
110303101,11
110303102,0
110303103,13
110303103,11
110303104,42
110303104,11
110306101,77
110306101,11
110306102,77
110306102,11
110308101,11
110308102,0
110308103,0
110308104,0
110309101,11
110309102,0
110311101,12
110311101,11
110311102,0
110312101,0
110313101,39
110313101,11
110313102,108
110313102,11
110313103,80
110313103,11
110313104,237
110313104,11
110313105,0
110313106,37
110313106,11
110313106,163
110314101,70
110314101,11
110723101,161
110723101,11
110725101,37
110725101,11
110725102,12
110725102,11
110725103,17
110725103,11
110725104,12
110725104,11
110726101,11
110726102,14
110726102,11
110726103,24
110726103,11
110726104,11
110728101,0
110728102,12
110728102,11
110902101,0
110902102,0
110902103,0
110902104,0
110902105,81
110902105,11
110902106,11
110903101,11
110903101,17
110903101,12
110903102,17
110903102,11
110903103,17
110903103,12
110903103,11
110903104,11
110903104,17
110904101,0
